"sentiment","text"
"neutral"," die abt kraftfahrtschaden in  hannover sucht befristet kfzschadenregulierer mw im innend  karr"
"positive"," ne ne eindeutig    "
"neutral","foto soll kameramodul des iphone s zeigen "
"neutral","die besten schweizer kredite des monats juli  "
"neutral","pussy bis zum orgasmus geil gewichst  sleezy da wird man von den ganzen usern vor der cam hei gemacht bis di "
"neutral","verstehe gepanzerte boote essen die viecher stiefel lassen sie brig die schmecken nicht natrlich   schlefaz"
"positive","und wieder geht ein schner heier  sommertag zu ende  sonne  baden  sonne "
"neutral","go andy   catch dem pigs  "
"neutral","live chat sex die versaute radfahrerin steckt den dildo in ihre feuchte pussy "
"neutral","neue rezension thorbeckes alte grten kalender  bcher  literatur"
"neutral","  glcksspiel  gambling  playingcards  casino  onlinecasinoangebote  casinoangebote  casinospielen "
"neutral","braunschweig sind eltern schtig leiden die kinder "
"positive"," um chicken duh ily"
"negative"," ich sitz neben ihr und muss catch the millionr schauen ja denkste das ist spannend  "
"neutral"," fm in fm h  fm steht brigens fr feste masche "
"neutral","sind verstsse gegen residenzpflicht ordnungswidrigkeiten oder wie michael siefener vom bayer innenministerium behauptet straftaten  "
"negative","mum hat mich grad gefragt ob ich schwanger bin und deshalb so schlecht drauf"
"neutral"," mehr macht auf jeden fall und leicht zu mibrauchen "
"positive"," nu isser besoffen vielleicht besser "
"neutral","papa schlumpf besttigt entfernung zum magischen wasserfall nicht mehr weit  smurfsvillage "
"neutral","pflege aktuell schaukelsessel sorgt fr wohlbefinden bei demenzkranken frher gehrte ein "
"positive","dank den einfachen be smart work safe tipps verpasst du garantiert keine party "
"neutral","arbeitgeber studenten halten nicht mehr viel von banken "
"positive"," na guck geht doch "
"negative","fickenarschlochfucktweet  "
"neutral"," ob sich das wohl je rumspricht  bbc doku entlarvt spanische inquisition als schwarze legende "
"neutral","simdi ben kimlere vielleicht genau echt ya da entschuldigung diycem "
"neutral","nikkei nachhaltiger ausbruch   update  nikkei  indizes"
"positive"," guten morgen wnsch ich dir auch  muss heute aufs zollamt fahren meine quilts abholen yay endlich  was liegt bei dir an  "
"neutral","aber hey immerhin sitzt eine jhrige als jngste gemeindertin fr die  sp im gr warum  wei keiner so genau "
"neutral","bijan djirsarai fdp vorsitzender deutschiranische parlamentariergruppe  podcastinterview"
"neutral","im bro hre wieder einer telefonkonferenz zu werfe abwechselnd hm really  oder i agree ein um aufmerksamkeit zu heucheln ihr kennt das "
"neutral"," ding doch gleich  ach komm schon gwenny  tempel  ich wollte nach tempel zu hm madame rossini genau ich nickte "
"neutral"," nichts gegen hurt oder die gesamten american recordings aber zum begrbnis  ich htte gerne rainbirds von t waits "
"neutral"," philipp rsler neuer anlauf zur netzneutralitt "
"negative"," gerne doch  aspartam ist ein mieses dreckzeug das sich sogar in speziell beworbenen kinderprodukten findet "
"neutral","  ekel  neuklln  rauschenimwald"
"neutral","amazon outlet schuhe amp handtaschen jetzt stark reduziert "
"positive"," grins breit grins"
"positive","love being drunk lol last tweet"
"neutral"," warum immer nur wenn auch zurecht  limburg  transfer mario gtze mio ard zahlt fr sport mio verlieren wir n"
"negative","normal bin ich ja ned der mensch dwer sich beschwert wegen dem essen aber diese pizza von joeys boah wie ekelhaft"
"neutral","fhrung wie sie ihre mitarbeiter vor boreout schtzen managermagazin  wirtschaft"
"neutral","rt jetzt online spielen urban rivals das gratis browsergame bringt mehr "
"positive"," danke fr die aufklrung  wieder was gelernt  na du wirst schon noch richtig wach heute oh sapkurs geht weiter bussi"
"neutral"," um mal den groen karl dall zu zitieren thank you very very much much much englisch lernen ist quatsch "
"positive"," na dann feier schn  "
"negative","lt mchte milde kotzen"
"positive"," bin selber fanboy aber nicht ganz so fanatisch hoffe ich "
"neutral","gerontocat rettet die welt  mit dem rollator und einem flotten schlager auf den lippen  "
"neutral","neues video bastelnoriginellen flugzeug falten flugzeug mit origami falten "
"neutral","stone temple pilots kndigen neue ep high rise mit linkin parks chester bennington an am "
"positive"," wunderschn xd"
"neutral","gladbach ter stegen fehlt younes bricht ab arango individuell  gladbach"
"neutral","wir knnen jetzt nicht rummachen ich hab neue leben bei candy crush saga  "
"negative"," das sind schei public cunts die gg leute mit hnden nicht mal b b machen so siehts aus"
"positive","samsung dfernseher gewinnen  gewinnen sie den samsung uedys d led fernseher der zoll fernseher m "
"positive","hey was geht ab freut ihr euch auch schon auf donnerstag auf alarm fr kobra "
"positive","endlich online meine eindrcke vom  twitcook danke an fr den netten abend "
"negative","mein ex hat ne neue nach wochen zusammengezogen nach monaten verlobung und jetzt heiratsantrag na dann viel glck hust"
"positive"," i see tbh it would be better the other way round uh just say ich spreche nicht gut deutsch auf wiedersehen"
"neutral"," nix mecker schlagende argumente gegen autofahrende frauen in saudiarabien "
"neutral"," also am wochenende war noch keine da und jetzt bin ich ja erstmal wieder in berlin"
"neutral","wie sieht es mit den mit dem wahlkampf in deutschland aus  was wird den alles versprochen  und welche versprechen warden gehalten  "
"neutral"," im  dfbpokal gehts in der runde zum thringenmeister sv schott  jena zufrieden mit dem los  alle weiteren infos in krze auf "
"positive"," tchau "
"neutral","zuviel sonne beim schaar bundestag muss mehr mit geheimdiensten zusammenarbeiten "
"negative"," ojeeee da knnen se lange warten"
"neutral","was macht edward snowden eigentlich gerade  einen groen topf borschtschbackups von seinen vier notebookslieg "
"neutral","portugals verfassungsgericht kippt erneut sparvorhaben "
"neutral","groe  ereignisse brauchen  sendezeit  bp  ltw  grneraus  fdpraus "
"neutral","fink verlsst das diplomatische parkett der cfc bleibt beim gegen rostock zwar im fnften spiel in folge "
"neutral","ich habe gerade top star frost frost frost glitter auf stardoll gekauft schau dir meine suite an  "
"neutral","luxurise handgearbeitete aktentasche aus echtem italienischen stierleder aktentasche orlando "
"neutral","bridge  a  rhein  koblenz  streakrunner  instajogger  laufen  igerskoblenz  igersrlp  rheinstagram "
"neutral","dj hochzeit rgen buchen bei fischer spezial "
"negative","berdenggung"
"neutral","ich hab was neben mir liegen "
"neutral","groe weie bruderschaft "
"positive","chip online amazon app store gratisapps zum jubilum den amazon app store fr androidapps gibt es heute "
"neutral","erweiterte lotto systeme "
"positive","morgen lieve nichtje hier "
"neutral"," sommerloch  sichtbar "
"neutral"," rein aus organisatorischem interesse wie viele leute betreuen bei euch die accounts hier und bei fb  "
"neutral","sean sasser dead real world star dies of cancer at age via "
"positive","weltuntergangsgewitter herrlich  sturm  gewitter  starkregen"
"negative"," wissen  igitt geh weg damit  "
"neutral","immofinanz trade an uns scheitert erholung in cee jedenfalls nicht "
"neutral","versicherung gegen onlinerufschdigung "
"neutral","unverschmt  nsaskandal usabgeordneter rechtfertigt lauschangriffe "
"neutral"," matussek wirkte zerstrt"
"neutral","  burials burials a f i format audio cd verkaufsrang in musik war gestern "
"neutral"," ein gutes herz leon de winter verarbeitet seine wut auf den ermordeten filmemacher theo van gogh literarisch "
"negative","ich bin down tja interessiert wahrscheinlich noch weniger als facebook "
"negative","deichkind entfhrt  "
"neutral","willst du vielleicht darauf trinken  ja    schlefaz"
"neutral","bildungsministerium erhlt note fr enormen stundenausfall "
"negative","zuviel misstrauen in dieser welt "
"negative","die haben auch keine anderen hobbies als lost girl dartseller in rookie blue zu stecken oder  "
"neutral"," sorry  wir fhren wartungen durch wenn aus erfahrung die wenigsten logins erfolgen per telefon sind wir h erreichbar ea"
"neutral","googles hilfe fr kleine websites seopt blog "
"neutral","fplpo ragger rotgrnschwarze koalition lhmt sich selbst utl wichtige rechtsklrung in natursc apa ots"
"positive","heb echt kleine handen xd"
"neutral","feel betterblog loslassen heisst besonders auch die illusion des freien willens loszulassen by resonanzen ch"
"neutral","nice dumplings  lunchtime  inmymouth  dumplings  asian  typical  foodporn "
"neutral","nicht mehr ganz frisch george clooneys monuments men first look  entv via "
"positive"," geleakte technische details wren nett ne  "
"neutral","schwedenimmobilien hauskauf bau renovierung re warum antwortet makler in arvika nicht  hej  bei uns war "
"positive","sweet jesus diese abendessen war gttlich "
"positive"," da muss ich mit der frau abends tangotanzen gehen das gibt ganz groes kino "
"positive"," kein problem dass du erst jetzt antwortest  lieber spter als nie "
"neutral","generation ofenkartoffel terminus technicus fr insider auenstehenden schwer zu erklren"
"neutral","  seitensprung geile hausfrauen aus oesterreich und schweiz hier "
"neutral"," rd reich keggers"
"neutral"," jerman xi vs austria neuer lahm mertesacker boateng schmelzer khedira kroos mller zil reus klose"
"neutral","hmpf jeweils den zweiten satz verloren von spiele sind rum "
"neutral","asus google nexus tablet pc mit gb wlan cm zoll  berlin verkaufe absolut neuwertiges asus n "
"negative"," ahnungsloser"
"positive"," kein thema beim iphone htt ich eher helfen knnen "
"neutral","funzt bei euch auch instagram nicht mehr  "
"positive","qualitt alter klassikgitarre sehr gute klang und gut erhalten hamburg qualitt alter klassikgitarre sehr g "
"neutral","  kraftwerk pop art um auf arte  dokumentation via  musik  deutschland"
"neutral","  ard  n  ntv news paradise lost neuer song online am erscheint  rtl  sat  pro"
"positive","aber egal wer da transzendental auf meinem schoss sitzt ich schubs ihn nu runtergeh ins bett  gn all ihr lieben "
"positive","assalamo aleikum w w ich wnsche euch allen und eurer ganzen familie aus ganzem herzen eid mubarak wasalam umair k"
"neutral","kennzeichen ehemaliger bezugsstdte verfolgen mich heute "
"negative"," wehe nicht  "
"neutral","und dann erfindet die bundeskanzlerin auch noch neue worte ich bin da nicht die allereinzigste "
"neutral"," getrennt marschieren vereint schlagen berpisah kita berjuang bersama kita memukul "
"neutral","asphaltarbeiten in burbach bergstrae von freitag august bis samstag august zum teil voll gesperrt "
"neutral","temp c windkmh luftdruck hpa trendlangsam fallend niederschlag mm trend hin und wieder niederschlag sehr unbestndig"
"positive"," wir mssen uns noch so ringe aus den automaten holen xd"
"neutral"," hamburgo hoffenheim y eintracht frankfurt bayern munich  bundesliga"
"positive","hej  schne idee von abwrackprmie fr altes design "
"neutral"," warum meinst du das  "
"neutral","anlage  thun sichtbar gesetzt"
"neutral","bossti und die community bauen gemeinsam populre gebude aus hogwarts nach seid live dabei oder helft selbst "
"neutral","frderung mittelstndischer privater bahnunternehmen "
"neutral","tag nach dem groen usfinale von breaking bad  fr alle fans gibts hier einen tollen nachruf "
"neutral","samsung ativ tab neuer windows tabletpc mit intel atom z prozessor erscheint in krze "
"neutral","ag mnchen gegenstandswert deutlich unter in filesharingsachen anwalt de ag mnchen gegenstands "
"positive","sturm frei party dj kommt schon "
"neutral","nintendo ds fortschritt in d nachteile "
"neutral"," johnny wrde weinen  halligalli"
"negative"," leider kaufen genau bei sparkassen viele leute sowas "
"neutral","porsche gemballa mirage gt carbon edition gt porsche mirage gemballa carbon edition cars "
"neutral"," hallo meine freundin hat den complete mobil m netzintern friends mit handy tarif fr warum kann man nicht wechseln  "
"negative","ey haste schon gehrt  am dorfplatz hamse wieder rumrandaliert das warn doch sicher wieder diese russen  pack verdammtes "
"positive"," perfect butt"
"neutral","fitbag classic sand handytasche tasche aus original alcantara mit microfaserinnenfutter fr nokia pure  view "
"positive"," dissertationen waren frher auch nicht viel lnger herzliche gratulation  "
"neutral"," nope knnen wir nicht schreibe spter ganz viele schlechte bewertungen d"
"neutral","design fn haartrockner ente er style jahre altluheim er jahre style design haarfn ente sehr seltenes "
"negative"," absolut  fiese scheisse "
"positive","  museuminsel  ich  kunst  grnen  friede  smile  peace  glcklich  besuchen alte nationalgalerie "
"neutral","unter jedes wahlplakat mit beatrix von storch ein leises liebesgedicht drunterkritzeln bis sie lchelt hihi "
"neutral"," scherenschnitt klassisch "
"negative","und was nehmen sie  ich nehm dann mal die traurige wendung "
"neutral"," regelkonform geworfen zaehlt nur wenn auf bebaute flaeche gezielt kein krater  cc "
"neutral","heie diskussionen nach tod bei hochzeit "
"positive","wow die beiden sind so gut   "
"positive","with or without you und mann zerrt mich auf seine bhne liegen nebeneinander spren unseren herzschlag lieben uns "
"neutral","gutes wetter schlechtes wetter  veranstaltung "
"negative"," war kein gutes jahr fr indische tageszeitungen umsatzwachstum nur statt der sonst blichen prozent "
"neutral","stuttgart gegen nrnberg verbeek holt ersten punkt dank irrer sechs minuten "
"positive"," jd snger hat auch schon alles durch vergewaltigung als kind harte drogen mobbing bewundere den kerl einfach "
"neutral","schon seit lngerer zeit will vodafone seine beteiligung am usmobilfunkriesen verizon wireless loswerden jetzt "
"neutral","gefragte produkte samsung antiglare type ativ smart pcsmart pro zoll stck samsung "
"neutral","wetterwerte wiehl temp c wind kmh druck hpa langsam steigend regen heute mm "
"negative"," schlimm nicht wahr  "
"neutral","ach ja damals lt mauerpark for grss august and mutabor w "
"neutral","beckenbauer verteidigt kieling franz beckenbauer sieht im fall des phantomtors von hoffenheim die schuld nic "
"negative","vier zeichensetzungsfehler in zeichen danke bin jetzt gut aufgewrmt frs redigieren im frhdienst  sponsoredtweets"
"neutral","wetterwerte kiel temp c windkmh druck hpa schnell steigend regen heute mm "
"neutral","amgenaktie erfolgreiche bernahme erfreulich preis jedoch relativ teuer aktiencheckde  brse"
"neutral","ipad gb wei geisa verkauf hier ein gb ipad in weiss  ipad das ist dass monate alt ja bekommen "
"neutral","keine chance fr linksabbieger "
"neutral"," bitte weitersagen sucht verstrkung u a visual designer und seniorhead product manager "
"neutral","klaus krger hektik "
"negative"," oh d klingt nicht so toll lt"
"positive"," tztztztz xd spa  "
"neutral"," mal sehen was inzwischen so samstag morgens lu nope "
"positive"," oo nga kame den huehuheu"
"positive"," ein ziemlich geniales werkzeug fr lau dafr kann man werbung schon hinnehmen finde ich "
"neutral","shopping ohne hindernisse  primark  primarkberlin  wochenendeinberlin"
"neutral","ewige  liebe  jhriger  fredstobaugh schreibt oh sweet lorraine fr verstorbene frau  ohsweetlorraine  youtube"
"neutral","protestaktion gegen flchtlingspolitik in  hamburg "
"neutral"," wenn kein schwbischer manager sie diszipliniert  "
"positive"," unbeschreibbar lt kein witz  d"
"positive"," bei tollem mrchen sanft weggeschnarcht"
"negative","okok fanfictions schreiben schn und gut aber er heit booboo nicht bobo sind wir hier bei dj bobo oder was"
"negative"," wenn mans genau nimmt nicht aber begrndung siehe tweet oben "
"neutral","erneuerbare energien volatilitt beherrschen "
"negative"," liebe fdp nrw sorgt doch endlich fr einen ordentlicen grundrechtsschutz auf bundesebene statt nur kryptopartys zu verans"
"neutral","verkehrsplaner im land sagen bures manahmen helfen kufstein erst in drei jahren will deshalb aufschub "
"neutral","penner sitzt auf einer parkbank amp fhrt gesprche ber krisen im leben mit seinem schuh "
"neutral"," macht hmisches elefantenprusten"
"neutral"," ostern falsch verstehen  "
"neutral"," klar die front darf nur das display ausmachen keine mechhanische knpfe mehr dort aber frontlautsprecher     "
"neutral","erffnung geschlossener heime neues deutschland "
"neutral"," frei nach hhner wenn nicht jetzt wann dann  "
"neutral"," buffet empire"
"neutral","wenns jetz pls nicht regnet whrend des spiel danke"
"neutral","super mario sunshine  bowser und das ende  lets play super mario sunshine ber "
"positive"," dats da way   beer  booze  pub  bar  fun  weekend  chilling  drink  draught deutsches gasthaus "
"positive"," gewnschter morgen bett tatschlicher morgen bh  besser knnte ich es nicht sagen "
"neutral","unglaublich "
"neutral","google glass nicht vor erhltlich "
"neutral","das drfte hofmann dann auch fr ne note bei kicker qualifizieren  bvb"
"positive","wie lange hab ich das nicht mehr gehrt ill catch a grenade for you  ohrwurm"
"neutral","  nsaaffre europische delegationen sollen skandal klren heise online "
"positive","was zum lachen am abend  jimmy kimmel lie detective  "
"neutral"," schwarzmarkt zerstren cannabis legalisieren  piraten  ppat"
"neutral","gta entschdigung verzgert sich via "
"neutral"," gar nicht du  "
"neutral","ruhani weckt hoffnung auf "
"negative"," liebe dein duschgel schmeckt nicht  tranzparenztweet"
"neutral"," nsa beendet deutsche staatsglubigkeit  nsa  snowden  prism  afd  freiheit  liberal"
"positive"," nimms positiv in der lasagne hat auch nicht pferdefleisch gestanden war aber jede menge drin "
"neutral","liebe whler sie kennen mich keine experimente  angela adenauer"
"neutral"," was wrdet ihr mit millionen machen  einen gareth bale verpflichten oder doch lieber porsche carrera s "
"neutral","grad zwei hosrn bestellt hoffentlich gefllt mir nur eine sonst bin ich los "
"neutral"," wir bergeben die petition  aufschrei tv ard zdf klrt zuknftig angemessen ber  sexismus auf "
"neutral"," die katastrophe von fukushima zeigt da hinter japans demokratiekulisse in wahrheit die konzerne regieren unmenschlicher "
"neutral"," neu in deutschland vevo  musikvideos fr alle was kann vevo   vevo"
"neutral","kfz versicherung zu teuer  hier vergleichen und sparen "
"neutral","im anschluss weitere lnderspiele ebenfalls international  gerpar"
"neutral","gdv naturgefahrenreport schden bleiben versicherbar "
"negative"," dortmund nicht schn"
"neutral","  amazon de ritzel zhne teilung typ fr hercules prima gt prima m mx g  motorrad"
"neutral"," bundesregierung verhindert strengere abgasnormen bmw spendet fast millionen an  cdu lobbyisten im kanzleramt  http"
"positive"," herrliche stcke "
"neutral"," also hflichkeit sollte selbstverstndlich sein "
"neutral","eplayer keller das geht die medien gar nichts an kanal bundesliga"
"neutral"," news aus bern kanzlerkandidat pldiert fr neue verhandlungen mit bern handelszeitung "
"positive","ach ich liebe s tweets "
"neutral","medani web amp design sucht einen weiteren webdeveloper mw der viel onlineshoperfahrung hat "
"neutral"," mein dreifaches  fff geht heute an junge gute journalisten mssen hungrig und frech sein drfen"
"neutral","twitter findet die ursache fr lebensmittelvergiftungen deutsche mittelstands nachrichten "
"neutral","brauch nen ds dringend "
"neutral"," schalt um schnell "
"neutral","also gleich mach noch das video fertig "
"positive","muss dann morgen sportfest nicht mit machen "
"neutral"," unterfremdung wrde mir riesige angst machen "
"neutral"," ausbildung im dezember in mnchen zwei punkt methode mnchen quantenheilung "
"neutral"," auf gehts eisbren kmpfen und siegen   eisbren  ebb  sechspunktewochenende"
"neutral","haufenweise meiner apps bemngeln fehlende kommunikation zum server o  isdochnichnormal  ausfallwegenregen"
"neutral","ultra slim wand halterung  duisburg zum verkauf steht eine gebrauchte wand halterung aber in einem guten z "
"neutral","  depressionen  boreout machen sie  kostenlos den  bore out test "
"neutral"," bist du nicht mehr auf fb  "
"neutral","das kostenlose d social chat game  einsam  bei club cooee findest du dein gegenstck  triff neue leute zum "
"neutral"," hmm ein foto von dir am besten passfoto oder so amp vielleicht etwas was dein markenzeichen sein knnte"
"neutral","unverbindliches  kreditangebot fr schufafreies darlehen gnstiger anbieter fr ihren online  kredit "
"neutral","trotz teilverstaatlichung commerzbankchef blessing fliegt first class dank milliardenschwerer staatshilfen "
"neutral"," organisiertes versprechen"
"neutral","mandmdirect top mode und sport marken bis zu gnstiger "
"neutral","fake app bei google play erneut falsches whatsapp aufgetaucht via "
"neutral","seit dem update wirkt die twitterapp viel professioneller"
"neutral"," scotland yard hielt prinz andrew beim promenieren im garten des buckingham kurzzeitig fr einen einbrecher "
"neutral","neue veranstaltung jahreskonzert mit mosaik und canto vero samstag rieden  ngl"
"positive"," gut schabbos aus berlin "
"neutral","wer sucht tierbetreuung wlfrath ich w suche jemanden der bereit waehre mir seinen hund fuer einige spa "
"neutral","messerschrfmaschine diamant fa graef neuwertig aus konkurs meeder ich biete hier im auftrag eine hochwert "
"neutral"," tgok macy kate band ft kurt scheneiderradioactive "
"neutral","seit dieser woche sind wir endlich bei muso koroni in wien erhltlich i werd narrisch "
"positive"," nope muss ich mir wohl noch holen o o und danke frs kmmern "
"neutral","frankfurt und potsdam an der spitze  fuball  bundesliga"
"neutral","  zitat gott sortiert gebete sicherlich nicht nach konfessionen j gottfried von herder deut theologe "
"neutral"," ich will immer noch ein creepy russlandshooting mit nem schweineherz machen weil das am hnlichsten ausschaut aber da will"
"neutral","eine gute beziehung ist es wenn du nicht weist ob dein muskelkater vom lachen oder vom sex kommt kilo "
"negative"," steini will vielleicht nen marshall plan mehr nicht  rumgeeiere  warum lassen wir uns eigentlich immer verarschen  "
"neutral","unsere schnsten landhotels swr fernsehen diebesten "
"neutral"," dank des abhrskandals wird diese frage immer hufiger mit nein beantwortet  fb"
"neutral"," ja falsche brtchen "
"positive"," und dann mich anrufen und minuten ente ente ente ente ente sagen ja das kannst nur du xd"
"neutral"," hitlerbodyguard rochus misch ist tot misch war der wohl letzte zeitzeuge aus dem direkten umfeld hitlers der "
"neutral","  bauerngarten  sichtschutz fr gemtliche  gartenoasen  gartenparadies kirschlorbeer  hecke "
"neutral","konflikte in der schule diese rechte haben eltern und schulkinder recht frankfurter rundschau via "
"neutral"," beidseitig bedruckte kunstpostkarte super druck farben naturgetreu sehr empfehlenswert "
"negative"," ich glaube nicht dass ich da schlafen knnte "
"neutral","kein problem mit dem altern lifting  nein danke  sharon stone mag ihre makel sharon stone verdrehte in ihr "
"positive"," danke bitte pack ihn nicht wieder weg "
"neutral","nokia lumia zoll groes windows phone mit quadcorepower "
"negative","ber den mindestlohn zu sprechen ist scheinbar die antwort auf jede frage  nervt   tvduell"
"positive","bestes gefhl der welt schuhe aus barfu laufen"
"positive","bei blau de bekommt man mb im monat gratis glaubte an einen scherz aber die meinen das ernst "
"neutral"," min heidenheim mit viel ballbesitz aber wenig platz defensiv machen wir das bisher ganz ordentlich "
"positive"," auszubildende beenden erfolgreich ihre ausbildung "
"neutral"," clever "
"positive","die klsser heissen die neuen klssler im schuljahr und im schulhaus hofmatt herzlich willkommen "
"positive","politik kann auch spa machen finde ich eine angemessene antwort auf frau  merkel  nahles  bundestag"
"neutral"," esse ebenfalls oft x warm und zwischendurch snacks fter kleinere portionen soll gesund sein "
"neutral"," deutsche wohnen ag und gsw immobilien ag schlieen vereinbarung ber den zusammenschluss business c "
"neutral"," hm hchstens zuviel koffein im heigetrnk nee eigentlich nicht mahlzeit  "
"neutral","wenn eine junge intelligente autorin der besonderen art verzweifelt einen neuen gewinnbringenden auftrag sucht "
"neutral"," drfte kein geheimnis sein "
"negative","wenn ae unter mavericks laufen wrde "
"neutral","  jobs die redaktion  der  bund sucht einen  praktikantin "
"neutral","gerade super lust mit carls haaren was zu machen aber ca km distanz halten mich davon ab "
"neutral","lieber journalismus wir mssen reden  olivenl"
"neutral","samsung uac zoll cm serie d full hd lcd fernseher  elektronik  kostenlose  kleinanzeigen  deu "
"neutral"," eins zwei drei vier eckstein  alles muss versteckt sein  "
"negative"," oh der bundestag beschliet eurojobs liebes volk vernnftig schlielich haben diese sesselpupser nicht mehr v"
"negative"," same here hast wohl auch noch keine ferien  "
"positive","einen wunderschnen guten morgen  twelt gerade lecker gefrhstckt und nun ne woche frei genieen "
"positive","ich hab das internet gelscht na dann herzlichen glckwunsch  "
"neutral"," achtung  suchtfaktor  "
"neutral","habt ihr eigentlich auch wirklich alle mein letztes video gesehen   gimmemania"
"neutral","denewsblog italien filmfest venedig starker deutscher beitrag zu gewalt in italien filmfest venedig "
"neutral","d puzzle wrfel  design sparschwein transparent neu "
"neutral"," ausgehrt gone girl von gillian flynn  hrbuch gone girl das perfekte opfer spannend  von "
"neutral","lecker kffchen gefllig   stoffschmiedemachtdeinenlieblingsstoff "
"neutral","indien mehr als tote bei massenpanik von michael radunski delhi "
"negative","hasse es wenn leute immer recht haben wollen"
"neutral","voll bock irgendwo hinzufahren bers lange wochenende "
"positive"," besser den park nicht so bald wieder besuchen  "
"neutral","  reutlingen  zeuge nach unfall rechts vor links gesucht "
"neutral","jamaikanisches gngemen angebot jamaikanisches gngemen "
"positive","ich freu mich wie so ein kleines kind an weihnachten beim geschenkeauspacken "
"neutral","lausbuben erschrecken brautpaar  witze "
"positive"," trum was schnes "
"positive"," lf lass mich  p des war echt so  hab immernoch dauergrinser "
"neutral","gutschein german dream nails gratis versand ab einem mindestkaufwert von euro bei german dream nails "
"positive"," jetzt gehts los unser ceo im livestream mit  bloggerhuette  livestream"
"positive"," die schnheit ankommt endlich mir folgt thanks heaps "
"neutral","erotische massage mit happyend ich bitte erotische massage ganzkrper massage mit abschluss lingam massag "
"positive","welcome back  bekanntes gesicht beim  htraining exinnenverteidiger  vinicius bergatin besucht seine ehemaligen mannschaftskollegen "
"neutral"," jedesmal wenn irgendwo ein mann seinen bart rasiert trocknet wo anders eine muschi aus "
"neutral","canon eos d mark iii extra cottbus verkaufe meine canon eos d mark iii in sehr gutem zustand aus "
"neutral"," habt ihr was zum thema grauen star inklusive eventuelle heilungsmglichkeiten  danke euch "
"neutral","schnelles internet auf dem land  dsl"
"neutral"," mio erbeuteten gangster im februar mithilfe manipulierter kreditkarten zwei tter stehen nun vor gericht "
"neutral","mutter setzt baby aus bitte kmmern sie sich gut um sie sddeutsche de sddeutsche demu  muenchen  munich"
"positive"," heftig neuer stuff b cookiedroge "
"neutral"," ob schmirgelpapier wohl auch funktioniert das parkett msste dringend geschliffen werden "
"neutral","freitag oktober uhr frankfurtmain konstablerwache kundgebung lernen aus "
"positive","second half now cmon schalke  kmpfen und siegen   hs"
"positive","hey ho donner  jetzt sind wir alle wieder wach  wow  ich dachte grad echt thor besucht uns  gewitter"
"neutral"," journalisten lernt bitte das mit den quellenangaben danke "
"neutral"," blink heilen magnetfelder schwere depressionen  foto tim  depressionen  ekt  gesundheit  imag"
"positive","dafr ist  franzferdinand s right thoughts right words right action herrlich retro und kein bisschen lahm "
"neutral","tigerlady aus singen  geil  fickpartner link "
"positive"," followed "
"neutral","fulda immobilenmarkt suche dringend eine wohnung ab qm mind zimmer "
"neutral","dauerhafter schutz fr kleingrten in berlin    finale niederlage von  mauerparkgroth gegen  kga oeynhausen    "
"negative","wer bitte isst denn stubenkken  nicht mal vegetarier mgen die  pfuibah "
"positive"," achso na gut bist aber gern eingeladen dir unser neues seenland mal genauer anzuschauen "
"neutral"," das kann ich empfehlen und untersttze diesen apell helft den hilflosen verhindert missvers"
"neutral"," presents  s lineup fhrmann uchida santana hwedes aogo hger neustdter clemens meyer draxler szalai  frmax"
"neutral","man ich brauch jetzt schnell einen idioten der mir weitere level fr candy crush freischaltet  ich will weiter spielen "
"neutral","  grnenspitzenkandidatin katrin sieht beim  echointerview noch chancen fr  rotgrn bei der  btw "
"neutral","sterreichnews unfall bei maria neustift "
"positive","schaut mal was heute nachmittag auf dem blog erscheinen wird  ein neuer outfit post woop woop "
"neutral"," z b einundzwanzig neununtneunzig"
"neutral","schubles steuerplne finanzminister plant vorsto gegen kalte progression wolfgang schub  wirtschaft  geld"
"positive","na endlich der  am wird ausgeliefert eine tolle maschine wird sicher noch ein exportschlager  eads "
"neutral","schalkes finanzen ein tanz auf der rasierklinge  s "
"positive"," verrucht  schnes wort  "
"neutral"," nigelnagelneu praxisorientierte seminare bei den medientagen mnchen  vom rat zur tat jetzt anmelden unter http"
"positive"," hat aber leider auch nicht immer geholfen auf jeden fall gute besserung    "
"neutral"," wann fngt der denn an also um wie viel uhr  "
"neutral"," bcher ohne lookismus  wasfehlt  harrypotter"
"positive"," drck knuddel"
"neutral","reifen und felgen re suche zoll felgen autor janb verfasst am mi okt gmt ich h "
"neutral","zahnarztauskunftonline sdtirol hier finden sie die besten zahnrzte und zahnmediziner aus sdtir error"
"neutral","anruf erwnscht ts natur    hallo mein lieber ich bin die ts blondie baby    vergi was du bis jetzt "
"positive"," vielen dank frs folgen meiner tweets mehr infos gerne auch unter dem account unserer agentur vg aus kln"
"negative","ey ihr spackos wenn ihr keine kinder operieren knnt dann lasst es "
"neutral","fnf jahre erziehungslotsen in celle november bis heute vor genau fnf jahre  celle"
"negative"," ja ja bla bla aber die hardware alleine macht kein spielerlebnis aus "
"negative"," das kann keiner beweisen  aber ich bin nicht schn xd wirklich "
"positive","  psalm   ich  will  bei  dir  bleiben  mein  leben  lang  gott  ist  immer  da  seine  arme  sind "
"positive","drinking a warsteiner premium dunkel by warsteiner brauerei "
"neutral"," what was this "
"positive","die neue folge muss heute einfach sein    heisenberg  breakingbad"
"positive","gleich gehts loooos  da mir keiner gute reise wnscht gute reise liza "
"negative"," stirbt gelassen aus"
